128 200 0.005 1.0 1e-6
0 5.000000 20.000000 0.000000 0.000000 0.223607
1 6.000000 21.474102 1.054955 -0.010582 0.215406
2 7.000000 22.889249 2.254394 -0.020438 0.207510
3 8.000000 24.234824 3.594897 -0.029644 0.199844
4 9.000000 25.500417 5.072348 -0.038260 0.192348
5 10.000000 26.675859 6.681955 -0.046335 0.184978
6 11.000000 27.751270 8.418256 -0.053905 0.177699
7 12.000000 18.830881 6.737797 -0.075331 0.210536
8 13.000000 19.863410 8.227694 -0.082532 0.199249
9 14.000000 20.791754 9.833767 -0.089151 0.188495
10 15.000000 21.607071 11.549220 -0.095237 0.178175
11 5.000000 22.300944 13.366671 -0.100824 0.168214
12 6.000000 22.865414 15.278181 -0.105943 0.158555
13 7.000000 23.293018 17.275280 -0.110619 0.149152
14 8.000000 15.460209 12.687866 -0.141855 0.172850
15 9.000000 15.930449 14.438518 -0.144832 0.159798
16 10.000000 16.263456 16.263456 -0.147442 0.147442
17 11.000000 16.453194 18.153303 -0.149695 0.135675
18 12.000000 16.494225 20.098272 -0.151600 0.124415
19 13.000000 16.381731 22.088207 -0.153166 0.113595
20 14.000000 16.111537 24.112619 -0.154400 0.103167
21 15.000000 10.282055 17.154572 -0.191794 0.114957
22 5.000000 10.135030 18.961307 -0.190200 0.101664
23 6.000000 9.833767 20.791754 -0.188495 0.089151
24 7.000000 9.375744 22.635049 -0.186652 0.077314
25 8.000000 8.759136 24.480146 -0.184652 0.066070
26 9.000000 7.982829 26.315859 -0.182481 0.055355
27 10.000000 7.046425 28.130906 -0.180130 0.045120
28 11.000000 3.901806 19.615706 -0.219310 0.043624
29 12.000000 3.154705 21.267295 -0.213331 0.031645
30 13.000000 2.254394 22.889249 -0.207510 0.020438
31 14.000000 1.202158 24.470489 -0.201787 0.009913
32 15.000000 0.000000 26.000000 -0.196116 0.000000
33 5.000000 -1.349361 27.466875 -0.190463 -0.009357
34 6.000000 -2.842497 28.860357 -0.184801 -0.018201
35 7.000000 -2.934609 19.783530 -0.221187 -0.032810
36 8.000000 -4.194442 21.086884 -0.211522 -0.042074
37 9.000000 -5.588544 22.310719 -0.202265 -0.050665
38 10.000000 -7.111975 23.445038 -0.193331 -0.058646
39 11.000000 -8.759136 24.480146 -0.184652 -0.066070
40 12.000000 -10.523794 25.406687 -0.176177 -0.072975
41 13.000000 -12.399098 26.215690 -0.167867 -0.079395
42 14.000000 -9.427935 17.638425 -0.197204 -0.105408
43 15.000000 -11.053209 18.441165 -0.184983 -0.110874
44 5.000000 -12.778115 19.123801 -0.173373 -0.115844
45 6.000000 -14.594633 19.678585 -0.162272 -0.120349
46 7.000000 -16.494225 20.098272 -0.151600 -0.124415
47 8.000000 -18.467871 20.376156 -0.141294 -0.128061
48 9.000000 -20.506097 20.506097 -0.131306 -0.131306
49 10.000000 -14.819023 13.431179 -0.150165 -0.165682
50 11.000000 -16.619725 13.639456 -0.136817 -0.166712
51 12.000000 -18.473773 13.701084 -0.124212 -0.167480
52 13.000000 -20.371006 13.611471 -0.112242 -0.167982
53 14.000000 -22.300944 13.366671 -0.100824 -0.168214
54 15.000000 -24.252835 12.963410 -0.089892 -0.168176
55 5.000000 -26.215690 12.399098 -0.079395 -0.167867
56 6.000000 -18.477591 7.653669 -0.085571 -0.206586
57 7.000000 -20.243197 7.243132 -0.072656 -0.203059
58 8.000000 -22.009628 6.676548 -0.060529 -0.199536
59 9.000000 -23.765766 5.953014 -0.049089 -0.195976
60 10.000000 -25.500417 5.072348 -0.038260 -0.192348
61 11.000000 -27.202354 4.035088 -0.027980 -0.188629
62 12.000000 -28.860357 2.842497 -0.018201 -0.184801
63 13.000000 -19.975909 0.981353 -0.010972 -0.223337
64 14.000000 -21.500000 0.000000 0.000000 -0.215666
65 15.000000 -22.972295 -1.128557 0.010231 -0.208263
66 5.000000 -24.382026 -2.401420 0.019802 -0.201058
67 6.000000 -25.718589 -3.814992 0.028776 -0.193993
68 7.000000 -26.971595 -5.364984 0.037202 -0.187028
69 8.000000 -28.130906 -7.046425 0.045120 -0.180130
70 9.000000 -19.138807 -5.805694 0.064910 -0.213978
71 10.000000 -20.243197 -7.243132 0.072656 -0.203059
72 11.000000 -21.249229 -8.801719 0.079795 -0.192642
73 12.000000 -22.147738 -10.475100 0.086379 -0.182633
74 13.000000 -22.929953 -12.256315 0.092449 -0.172959
75 14.000000 -23.587537 -14.137825 0.098036 -0.163562
76 15.000000 -24.112619 -16.111537 0.103167 -0.154400
77 5.000000 -16.064151 -11.913986 0.133202 -0.179603
78 6.000000 -16.619725 -13.639456 0.136817 -0.166712
79 7.000000 -17.041876 -15.445856 0.140030 -0.154499
80 8.000000 -17.324116 -17.324116 0.142857 -0.142857
81 9.000000 -17.460533 -19.264729 0.145312 -0.131704
82 10.000000 -17.445815 -21.257787 0.147407 -0.120974
83 11.000000 -17.275280 -23.293018 0.149152 -0.110619
84 12.000000 -11.111405 -16.629392 0.185922 -0.124229
85 13.000000 -11.053209 -18.441165 0.184983 -0.110874
86 14.000000 -10.842125 -20.284189 0.183893 -0.098293
87 15.000000 -10.475100 -22.147738 0.182633 -0.086379
88 5.000000 -9.949769 -24.020868 0.181188 -0.075050
89 6.000000 -9.264471 -25.892462 0.179545 -0.064242
90 7.000000 -8.418256 -27.751270 0.177699 -0.053905
91 8.000000 -4.859604 -19.400625 0.216906 -0.054332
92 9.000000 -4.194442 -21.086884 0.211522 -0.042074
93 10.000000 -3.374801 -22.751060 0.206258 -0.030595
94 11.000000 -2.401420 -24.382026 0.201058 -0.019802
95 12.000000 -1.275760 -25.968682 0.195880 -0.009623
96 13.000000 0.000000 -27.500000 0.190693 0.000000
97 14.000000 1.422963 -28.965068 0.185472 0.009112
98 15.000000 1.960343 -19.903695 0.222530 0.021917
99 5.000000 3.154705 -21.267295 0.213331 0.031645
100 6.000000 4.487077 -22.558061 0.204508 0.040679
101 7.000000 5.953014 -23.765766 0.195976 0.049089
102 8.000000 7.547402 -24.880449 0.187671 0.056930
103 9.000000 9.264471 -25.892462 0.179545 0.064242
104 10.000000 11.097820 -26.792506 0.171560 0.071063
105 11.000000 8.551102 -18.079786 0.202138 0.095604
106 12.000000 10.135030 -18.961307 0.190200 0.101664
107 13.000000 11.824363 -19.727758 0.178849 0.107198
108 14.000000 13.611471 -20.371006 0.167982 0.112242
109 15.000000 15.488182 -20.883396 0.157522 0.116826
110 5.000000 17.445815 -21.257787 0.147407 0.120974
111 6.000000 19.475210 -21.487583 0.137591 0.124705
112 7.000000 14.142136 -14.142136 0.158114 0.158114
113 8.000000 15.930449 -14.438518 0.144832 0.159798
114 9.000000 17.779240 -14.591046 0.132280 0.161184
115 10.000000 19.678585 -14.594633 0.120349 0.162272
116 11.000000 21.618210 -14.444826 0.108956 0.163065
117 12.000000 23.587537 -14.137825 0.098036 0.163562
118 13.000000 25.575717 -13.670505 0.087536 0.163769
119 14.000000 18.079786 -8.551102 0.095604 0.202138
120 15.000000 19.863410 -8.227694 0.082532 0.199249
121 5.000000 21.655513 -7.748467 0.070246 0.196326
122 6.000000 23.445038 -7.111975 0.058646 0.193331
123 7.000000 25.220813 -6.317485 0.047652 0.190239
124 8.000000 26.971595 -5.364984 0.037202 0.187028
125 9.000000 28.686119 -4.255184 0.027247 0.183685
126 10.000000 19.903695 -1.960343 0.021917 0.222530
127 11.000000 21.474102 -1.054955 0.010582 0.215406
