512 200 0.005 1.0 1e-6
0 5.000000 20.000000 0.000000 0.000000 0.223607
1 6.000000 21.498381 0.263838 -0.002647 0.215649
2 7.000000 22.993073 0.564448 -0.005117 0.208452
3 8.000000 24.483398 0.901777 -0.007436 0.201894
4 9.000000 25.968682 1.275760 -0.009623 0.195880
5 10.000000 27.448248 1.686320 -0.011693 0.190334
6 11.000000 28.921423 2.133372 -0.013661 0.185192
7 12.000000 19.926252 1.715946 -0.019185 0.222782
8 13.000000 21.396472 2.107369 -0.021139 0.214627
9 14.000000 22.859860 2.535111 -0.022983 0.207244
10 15.000000 24.315749 2.999062 -0.024731 0.200511
11 5.000000 25.763469 3.499098 -0.026393 0.194332
12 6.000000 27.202354 4.035088 -0.027980 0.188629
13 7.000000 28.631741 4.606886 -0.029499 0.183337
14 8.000000 19.705553 3.419238 -0.038228 0.220315
15 9.000000 21.136768 3.935358 -0.039475 0.212022
16 10.000000 22.558061 4.487077 -0.040679 0.204508
17 11.000000 23.968776 5.074229 -0.041843 0.197650
18 12.000000 25.368255 5.696632 -0.042969 0.191351
19 13.000000 26.755849 6.354098 -0.044061 0.185532
20 14.000000 28.130906 7.046425 -0.045120 0.180130
21 15.000000 19.339529 5.097313 -0.056990 0.216223
22 5.000000 20.721185 5.734324 -0.057521 0.207853
23 6.000000 22.089902 6.405953 -0.058075 0.200264
24 7.000000 23.445038 7.111975 -0.058646 0.193331
25 8.000000 24.785957 7.852155 -0.059228 0.186959
26 9.000000 26.112025 8.626248 -0.059817 0.181068
27 10.000000 27.422612 9.433998 -0.060409 0.175595
28 11.000000 18.830881 6.737797 -0.075331 0.210536
29 12.000000 20.152789 7.491002 -0.075142 0.202152
30 13.000000 21.458834 8.277586 -0.075043 0.194542
31 14.000000 22.748399 9.097271 -0.075017 0.187587
32 15.000000 24.020868 9.949769 -0.075050 0.181188
33 5.000000 25.275631 10.834781 -0.075131 0.175268
34 6.000000 26.512083 11.751998 -0.075251 0.169764
35 7.000000 18.183360 8.328591 -0.093116 0.203296
36 8.000000 19.435770 9.192435 -0.092209 0.194959
37 9.000000 20.669513 10.088173 -0.091458 0.187387
38 10.000000 21.883995 11.015478 -0.090835 0.180459
39 11.000000 23.078630 11.974006 -0.090319 0.174080
40 12.000000 24.252835 12.963410 -0.089892 0.168176
41 13.000000 25.406033 13.983329 -0.089539 0.162682
42 14.000000 17.401740 9.857964 -0.110215 0.194557
43 15.000000 18.575416 10.826075 -0.108596 0.186329
44 5.000000 19.727758 11.824363 -0.107198 0.178849
45 6.000000 20.858202 12.852447 -0.105983 0.172000
46 7.000000 21.966193 13.909938 -0.104922 0.165689
47 8.000000 23.051179 14.996437 -0.103989 0.159843
48 9.000000 24.112619 16.111537 -0.103167 0.154400
49 10.000000 16.491786 11.314636 -0.126501 0.184384
50 11.000000 17.578073 12.379876 -0.124182 0.176325
51 12.000000 18.640516 13.473351 -0.122147 0.168992
52 13.000000 19.678585 14.594633 -0.120349 0.162272
53 14.000000 20.691760 15.743287 -0.118750 0.156076
54 15.000000 21.679527 16.918869 -0.117320 0.150332
55 5.000000 22.641380 18.120925 -0.116033 0.144979
56 6.000000 15.460209 12.687866 -0.141855 0.172850
57 7.000000 16.451096 13.842378 -0.138852 0.165020
58 8.000000 17.415803 15.022975 -0.136196 0.157889
59 9.000000 18.353842 16.229187 -0.133828 0.151348
60 10.000000 19.264729 17.460533 -0.131704 0.145312
61 11.000000 20.147992 18.716527 -0.129786 0.139712
62 12.000000 21.003165 19.996676 -0.128044 0.134489
63 13.000000 14.314617 13.967525 -0.156162 0.160042
64 14.000000 15.202796 15.202796 -0.152499 0.152499
65 15.000000 16.062654 16.461809 -0.149240 0.145622
66 5.000000 16.893743 17.744054 -0.146320 0.139308
67 6.000000 17.695626 19.049011 -0.143685 0.133477
68 7.000000 18.467871 20.376156 -0.141294 0.128061
69 8.000000 19.210058 21.724955 -0.139111 0.123008
70 9.000000 13.063457 15.144177 -0.169317 0.146054
71 10.000000 13.842378 16.451096 -0.165020 0.138852
72 11.000000 14.591046 17.779240 -0.161184 0.132280
73 12.000000 15.309057 19.128062 -0.157733 0.126241
74 13.000000 15.996021 20.497007 -0.154607 0.120657
75 14.000000 16.651554 21.885515 -0.151760 0.115466
76 15.000000 17.275280 23.293018 -0.149152 0.110619
77 5.000000 11.715957 16.209144 -0.181224 0.130988
78 6.000000 12.379876 17.578073 -0.176325 0.124182
79 7.000000 13.011832 18.965554 -0.171939 0.117963
80 8.000000 13.611471 20.371006 -0.167982 0.112242
81 9.000000 14.178450 21.793842 -0.164389 0.106947
82 10.000000 14.712435 23.233473 -0.161107 0.102020
83 11.000000 15.213101 24.689301 -0.158093 0.097414
84 12.000000 10.282055 17.154572 -0.191794 0.114957
85 13.000000 10.826075 18.575416 -0.186329 0.108596
86 14.000000 11.336658 20.012001 -0.181426 0.102776
87 15.000000 11.813502 21.463717 -0.176993 0.097416
88 5.000000 12.256315 22.929953 -0.172959 0.092449
89 6.000000 12.664815 24.410090 -0.169266 0.087821
90 7.000000 13.038729 25.903505 -0.165868 0.083491
91 8.000000 8.772325 17.973489 -0.200950 0.098078
92 9.000000 9.192435 19.435770 -0.194959 0.092209
93 10.000000 9.577880 20.910864 -0.189575 0.086832
94 11.000000 9.928412 22.398139 -0.184698 0.081871
95 12.000000 10.243793 23.896960 -0.180253 0.077268
96 13.000000 10.523794 25.406687 -0.176177 0.072975
97 14.000000 10.768199 26.926676 -0.172419 0.068952
98 15.000000 7.197901 18.659856 -0.208624 0.080475
99 5.000000 7.491002 20.152789 -0.202152 0.075142
100 6.000000 7.748467 21.655513 -0.196326 0.070246
101 7.000000 7.970102 23.167379 -0.191042 0.065723
102 8.000000 8.155725 24.687733 -0.186218 0.061518
103 9.000000 8.305164 26.215916 -0.181788 0.057590
104 10.000000 8.418256 27.751270 -0.177699 0.053905
105 11.000000 5.570394 19.208610 -0.214759 0.062279
106 12.000000 5.734324 20.721185 -0.207853 0.057521
107 13.000000 5.861910 22.240459 -0.201629 0.053143
108 14.000000 5.953014 23.765766 -0.195976 0.049089
109 15.000000 6.007511 25.296439 -0.190809 0.045314
110 5.000000 6.025284 26.831809 -0.186059 0.041781
111 6.000000 6.006230 28.371204 -0.181669 0.038460
112 7.000000 3.901806 19.615706 -0.219310 0.043624
113 8.000000 3.935358 21.136768 -0.212022 0.039475
114 9.000000 3.932123 22.661386 -0.205445 0.035648
115 10.000000 3.892025 24.188885 -0.199465 0.032094
116 11.000000 3.814992 25.718589 -0.193993 0.028776
117 12.000000 3.700969 27.249822 -0.188958 0.025664
118 13.000000 3.549910 28.781907 -0.184299 0.022731
119 14.000000 2.204444 19.878139 -0.222244 0.024646
120 15.000000 2.107369 21.396472 -0.214627 0.021139
121 5.000000 1.973338 22.915190 -0.207746 0.017890
122 6.000000 1.802332 24.433616 -0.201483 0.014862
123 7.000000 1.594339 25.951071 -0.195747 0.012026
124 8.000000 1.349361 27.466875 -0.190463 0.009357
125 9.000000 1.067409 28.980349 -0.185570 0.006835
126 10.000000 0.490825 19.993976 -0.223539 0.005488
127 11.000000 0.263838 21.498381 -0.215649 0.002647
128 12.000000 0.000000 23.000000 -0.208514 0.000000
129 13.000000 -0.300653 24.498155 -0.202015 -0.002479
130 14.000000 -0.638072 25.992169 -0.196057 -0.004813
131 15.000000 -1.012199 27.481366 -0.190563 -0.007019
132 5.000000 -1.422963 28.965068 -0.185472 -0.009112
133 6.000000 -1.226415 19.962362 -0.223186 -0.013712
134 7.000000 -1.581638 21.441745 -0.215081 -0.015865
135 8.000000 -1.973338 22.915190 -0.207746 -0.017890
136 9.000000 -2.401420 24.382026 -0.201058 -0.019802
137 10.000000 -2.865777 25.841581 -0.194921 -0.021616
138 11.000000 -3.366294 27.293187 -0.189258 -0.023343
139 12.000000 -3.902841 28.736176 -0.184006 -0.024991
140 13.000000 -2.934609 19.783530 -0.221187 -0.032810
141 14.000000 -3.415450 21.226980 -0.212927 -0.034260
142 15.000000 -3.932123 22.661386 -0.205445 -0.035648
143 5.000000 -4.484477 24.086084 -0.198617 -0.036980
144 6.000000 -5.072348 25.500417 -0.192348 -0.038260
145 7.000000 -5.695563 26.903728 -0.186558 -0.039495
146 8.000000 -6.353936 28.295362 -0.181183 -0.040686
147 9.000000 -4.621162 19.458799 -0.217556 -0.051666
148 10.000000 -5.224074 20.855672 -0.209202 -0.052402
149 11.000000 -5.861910 22.240459 -0.201629 -0.053143
150 12.000000 -6.534463 23.612514 -0.194712 -0.053884
151 13.000000 -7.241512 24.971194 -0.188356 -0.054622
152 14.000000 -7.982829 26.315859 -0.182481 -0.055355
153 15.000000 -8.758173 27.645875 -0.177024 -0.056081
154 5.000000 -6.273635 18.990564 -0.212321 -0.070141
155 6.000000 -6.994171 20.330557 -0.203935 -0.070158
156 7.000000 -7.748467 21.655513 -0.196326 -0.070246
157 8.000000 -8.536258 22.964806 -0.189371 -0.070391
158 9.000000 -9.357271 24.257813 -0.182975 -0.070581
159 10.000000 -10.211223 25.533917 -0.177059 -0.070807
160 11.000000 -11.097820 26.792506 -0.171560 -0.071063
161 12.000000 -7.879841 18.382277 -0.205520 -0.088099
162 13.000000 -8.712688 19.655510 -0.197164 -0.087397
163 14.000000 -9.577880 20.910864 -0.189575 -0.086832
164 15.000000 -10.475100 22.147738 -0.182633 -0.086379
165 5.000000 -11.404022 23.365536 -0.176245 -0.086020
166 6.000000 -12.364312 24.563668 -0.170331 -0.085738
167 7.000000 -13.355623 25.741549 -0.164831 -0.085520
168 8.000000 -9.427935 17.638425 -0.197204 -0.105408
169 9.000000 -10.366951 18.835507 -0.188938 -0.103990
170 10.000000 -11.336658 20.012001 -0.181426 -0.102776
171 11.000000 -12.336690 21.167335 -0.174549 -0.101730
172 12.000000 -13.366671 22.300944 -0.168214 -0.100824
173 13.000000 -14.426216 23.412268 -0.162347 -0.100035
174 14.000000 -15.514931 24.500753 -0.156885 -0.099347
175 15.000000 -10.906500 16.764494 -0.187433 -0.121938
176 5.000000 -11.944760 17.876597 -0.179319 -0.119817
177 6.000000 -13.011832 18.965554 -0.171939 -0.117963
178 7.000000 -14.107301 20.030828 -0.165177 -0.116331
179 8.000000 -15.230744 21.071887 -0.158944 -0.114884
180 9.000000 -16.381731 22.088207 -0.153166 -0.113595
181 10.000000 -17.559820 23.079270 -0.147783 -0.112441
182 11.000000 -12.304632 15.766929 -0.176280 -0.137570
183 12.000000 -13.434479 16.785850 -0.168378 -0.134761
184 13.000000 -14.591046 17.779240 -0.161184 -0.132280
185 14.000000 -15.773873 18.746598 -0.154587 -0.130074
186 15.000000 -16.982494 19.687430 -0.148501 -0.128098
187 5.000000 -18.216434 20.601251 -0.142855 -0.126318
188 6.000000 -19.475210 21.487583 -0.137591 -0.124705
189 7.000000 -13.612020 14.653085 -0.163826 -0.152187
190 8.000000 -14.825122 15.571312 -0.156195 -0.148710
191 9.000000 -16.062654 16.461809 -0.149240 -0.145622
192 10.000000 -17.324116 17.324116 -0.142857 -0.142857
193 11.000000 -18.609001 18.157782 -0.136963 -0.140366
194 12.000000 -19.916795 18.962365 -0.131490 -0.138108
195 13.000000 -21.246974 19.737429 -0.126384 -0.136050
196 14.000000 -14.819023 13.431179 -0.150165 -0.165682
197 15.000000 -16.106432 14.241939 -0.142860 -0.161563
198 5.000000 -17.415803 15.022975 -0.136196 -0.157889
199 6.000000 -18.746598 15.773873 -0.130074 -0.154587
